15 1994 6416
0 0 0.253664 -0.358315
1 0 0.272549 -0.384054
0 1 -0.252309 -0.291889
1 1 -0.219796 -0.337636
0 2 -0.22097 -0.277355
1 2 -0.191325 -0.323201
0 3 0.479374 -0.276701
1 3 0.491464 -0.311317
0 4 -0.0515454 -0.268202
1 4 -0.0238611 -0.29832
0 5 -0.199593 -0.265009
1 5 -0.169669 -0.309688
0 6 0.450967 -0.260331
1 6 0.463558 -0.295198
0 7 -0.174981 -0.245396
1 7 -0.147442 -0.290862
0 8 -0.0308787 -0.242541
1 8 -0.00654091 -0.276046
0 9 -0.166782 -0.234733
1 9 -0.139193 -0.279297
0 10 0.39495 -0.23514
1 10 0.408187 -0.270741
0 11 -0.193112 -0.226499
1 11 -0.165517 -0.273239
0 12 0.0164218 -0.214348
1 12 0.0386381 -0.248718
0 13 0.0218409 -0.204291
1 13 0.0432843 -0.239283
0 14 -0.00223285 -0.165292
1 14 0.0191268 -0.204077
0 15 0.00186636 -0.158796
1 15 0.0233957 -0.196375
0 16 0.0312275 -0.153088
1 16 0.051369 -0.191232
0 17 0.0343741 -0.14882
1 17 0.0538584 -0.187573
0 18 0.317991 -0.106426
1 18 0.334452 -0.137115
0 19 0.321009 -0.103876
1 19 0.336915 -0.135032
0 20 0.323683 -0.101776
1 20 0.339644 -0.132922
0 21 0.0914299 -0.0864386
1 21 0.107811 -0.127061
0 22 -0.187736 -0.0779716
1 22 -0.160677 -0.120421
0 23 0.278358 -0.0667004
1 23 0.294319 -0.0979569
0 24 0.0161846 -0.0627587
1 24 0.0341237 -0.106195
0 25 0.310281 -0.0614555
1 25 0.326448 -0.0920352
0 26 0.0557094 -0.0558879
1 26 0.0730052 -0.0963454
0 27 -0.241921 -0.0488818
1 27 -0.213432 -0.092962
0 28 0.295995 -0.048499
1 28 0.311685 -0.0796962
0 29 0.314293 -0.0481638
1 29 0.329614 -0.0811001
0 30 -0.0706353 -0.0435476
1 30 -0.0489495 -0.0844629
0 31 0.2996 -0.0423705
1 31 0.315642 -0.0739365
0 32 -0.120382 -0.0410265
1 32 -0.0970164 -0.0844223
0 33 0.325697 -0.0277678
1 33 0.339511 -0.0636092
0 34 0.328703 -0.0233536
1 34 0.342122 -0.0591396
0 35 -0.0994805 -0.020843
1 35 -0.0778027 -0.0668962
0 36 0.127422 -0.0158975
1 36 0.13887 -0.0626242
0 37 -0.0786619 0.00364841
1 37 -0.0566471 -0.0343476
0 38 0.251149 0.0215456
1 38 0.266467 -0.0104136
0 39 0.274885 0.0500738
1 39 0.289532 0.0151141
0 40 0.26438 0.0523582
1 40 0.278794 0.0151852
0 41 0.264921 0.0555477
1 41 0.278625 0.0188289
0 42 0.277839 0.0577832
1 42 0.290035 0.0191855
0 43 0.292036 0.0638302
1 43 0.304486 0.0252211
0 44 0.26919 0.0670999
1 44 0.281832 0.0283194
0 45 0.27474 0.0801334
1 45 0.286888 0.0402775
0 46 0.235067 0.0812626
1 46 0.246051 0.0369555
0 47 0.262609 0.0874758
1 47 0.274885 0.0449794
0 48 0.275711 0.0895634
1 48 0.28742 0.0487644
0 49 0.294379 0.0898763
1 49 0.305543 0.0491166
0 50 0.277336 0.0956796
1 50 0.288084 0.0540859
0 51 -0.0302119 0.110149
1 51 -0.0150172 0.0594644
0 52 -0.0204364 0.115499
1 52 -0.00636009 0.063319
0 53 0.167716 0.115183
1 53 0.176497 0.0622558
0 54 0.295991 0.115935
1 54 0.304483 0.0685993
0 55 0.169557 0.127909
1 55 0.177773 0.073825
0 56 0.232082 0.131551
1 56 0.241304 0.0832999
0 57 0.245389 0.130803
1 57 0.255314 0.0830798
0 58 0.169802 0.13406
1 58 0.177833 0.0794321
0 59 0.0556597 0.136679
1 59 0.0668457 0.0834258
0 60 0.156307 0.138603
1 60 0.165832 0.0877716
0 61 0.0486249 0.139323
1 61 0.0607206 0.0845208
0 62 0.0571343 0.139834
1 62 0.0690832 0.0855758
0 63 0.161148 0.14443
1 63 0.170543 0.0933633
0 64 0.233167 0.145507
1 64 0.241866 0.0967975
0 65 -0.0714179 0.146866
1 65 -0.0524466 0.102838
0 66 -0.0359968 0.149733
1 66 -0.0215413 0.0975823
0 67 -0.0306654 0.151576
1 67 -0.0153791 0.0996281
0 68 -0.026563 0.152709
1 68 -0.011479 0.101059
0 69 -0.0231524 0.153058
1 69 -0.00902004 0.100741
0 70 -0.0635148 0.154813
1 70 -0.0462768 0.110033
0 71 0.298016 0.155746
1 71 0.303395 0.103464
0 72 0.0189422 0.156741
1 72 0.0313394 0.101806
0 73 0.0223098 0.156701
1 73 0.0345096 0.102488
0 74 0.26127 0.162498
1 74 0.273583 0.120944
0 75 0.0477872 0.166361
1 75 0.0588813 0.111344
0 76 0.0509986 0.169842
1 76 0.0619036 0.11592
0 77 0.216842 0.170648
1 77 0.227376 0.122715
0 78 0.250086 0.169955
1 78 0.262241 0.12809
0 79 -0.0643383 0.172439
1 79 -0.0464679 0.128751
0 80 -0.0614084 0.181134
1 80 -0.0443022 0.136296
0 81 0.088181 0.184135
1 81 0.0981683 0.130453
0 82 -0.0624582 0.186172
1 82 -0.0451435 0.142466
0 83 0.214421 0.192612
1 83 0.224174 0.14561
0 84 0.209847 0.192873
1 84 0.220264 0.145819
0 85 -0.0572999 0.195367
1 85 -0.0399056 0.15196
0 86 -0.0531382 0.195615
1 86 -0.0368388 0.150801
0 87 -0.0510644 0.197267
1 87 -0.034339 0.152441
0 88 -0.0499375 0.201106
1 88 -0.0329709 0.157839
0 89 0.0766147 0.206915
1 89 0.0871878 0.154684
0 90 0.239298 0.207314
1 90 0.2509 0.167334
0 91 0.199719 0.208334
1 91 0.208699 0.161024
0 92 0.208491 0.211694
1 92 0.219106 0.165263
0 93 0.211279 0.211868
1 93 0.221051 0.166943
0 94 0.238827 0.222161
1 94 0.250231 0.183217
0 95 0.0597263 0.226968
1 95 0.0713916 0.177177
0 96 0.0576839 0.229757
1 96 0.0687891 0.180141
0 97 -0.0399353 0.233317
1 97 -0.0236104 0.190781
0 98 0.110932 0.244352
1 98 0.11084 0.163702
0 99 -0.00553436 0.250969
1 99 0.00881627 0.205777
0 100 0.192593 0.256728
1 100 0.202762 0.213972
0 101 0.189201 0.259961
1 101 0.19956 0.216579
0 102 0.369548 0.264475
1 102 0.374413 0.214116
0 103 -0.0277999 0.264742
1 103 -0.0121958 0.224463
0 104 0.0599744 0.266274
1 104 0.071245 0.218027
0 105 0.210081 0.268637
1 105 0.222537 0.229059
0 106 0.368568 0.269614
1 106 0.373407 0.218697
0 107 0.412171 0.271453
1 107 0.416249 0.217168
0 108 0.20432 0.273347
1 108 0.216681 0.233803
0 109 0.000647837 0.280208
1 109 0.0143432 0.236419
0 110 0.18176 0.285363
1 110 0.192364 0.243435
0 111 0.0626979 0.28973
1 111 0.0738719 0.242381
0 112 0.0636206 0.293643
1 112 0.0749575 0.247953
0 113 0.00815363 0.306827
1 113 0.0208535 0.263604
0 114 0.170392 0.311744
1 114 0.181278 0.272148
0 115 0.0666044 0.320643
1 115 0.0782383 0.276941
0 116 -0.221306 -0.281994
1 116 -0.190098 -0.325151
0 117 0.482217 -0.278801
1 117 0.494335 -0.313632
0 118 0.477921 -0.276212
1 118 0.48994 -0.310824
0 119 -0.212263 -0.269981
1 119 -0.182743 -0.315532
0 120 -0.033512 -0.244502
1 120 -0.00854872 -0.277373
0 121 0.015218 -0.215653
1 121 0.0371314 -0.250387
0 122 -0.00370244 -0.166984
1 122 0.0174819 -0.205296
0 123 0.0010219 -0.162798
1 123 0.0213781 -0.202039
0 124 0.113123 -0.159582
1 124 0.131968 -0.196452
0 125 0.0319525 -0.151916
1 125 0.0513398 -0.189774
0 126 -0.0951623 -0.138876
1 126 -0.0722678 -0.185748
0 127 -0.0463561 -0.137176
1 127 -0.0249397 -0.179524
0 128 -0.0442511 -0.113195
1 128 -0.0239018 -0.15792
0 129 -0.0218598 -0.0937086
1 129 -0.0026201 -0.138448
0 130 0.147041 -0.0915532
1 130 0.164554 -0.12668
0 131 0.0790199 -0.0842025
1 131 0.0942779 -0.13111
0 132 0.30324 -0.0592816
1 132 0.319358 -0.0903517
0 133 0.119323 -0.0417657
1 133 0.134194 -0.0870523
0 134 -0.124197 -0.0335091
1 134 -0.100835 -0.0765813
0 135 0.0492665 -0.0104552
1 135 0.0645094 -0.0564538
0 136 -0.0912983 -0.00684339
1 136 -0.0691499 -0.0460007
0 137 -0.0613868 -0.00621873
1 137 -0.0402299 -0.0489362
0 138 -0.0777953 -0.00220516
1 138 -0.0559279 -0.0407363
0 139 -0.0823838 0.00702638
1 139 -0.0599423 -0.0315296
0 140 -0.0888531 0.00903991
1 140 -0.0658977 -0.0298983
0 141 -0.0572318 0.0142819
1 141 -0.0354003 -0.0196543
0 142 0.249569 0.0225213
1 142 0.265173 -0.0105636
0 143 0.271773 0.045912
1 143 0.286821 0.0114082
0 144 -0.0270247 0.10682
1 144 -0.0128371 0.0557098
0 145 0.1546 0.110212
1 145 0.163995 0.0598568
0 146 -0.036851 0.110305
1 146 -0.021327 0.0577689
0 147 -0.0144845 0.117142
1 147 -0.000863047 0.0642289
0 148 0.300353 0.11737
1 148 0.307813 0.0692974
0 149 -0.0406012 0.123754
1 149 -0.0253884 0.0699998
0 150 0.182906 0.123137
1 150 0.192517 0.0742135
0 151 0.221319 0.127039
1 151 0.230577 0.0795356
0 152 0.169121 0.132731
1 152 0.177037 0.0781983
0 153 0.321901 0.132965
1 153 0.328408 0.0830884
0 154 0.169784 0.138216
1 154 0.177401 0.0845575
0 155 0.156265 0.140163
1 155 0.165438 0.0881492
0 156 -0.0623178 0.146866
1 156 -0.0444447 0.101852
0 157 -0.0616299 0.157626
1 157 -0.0437495 0.112912
0 158 0.240156 0.159259
1 158 0.250051 0.114063
0 159 0.0460114 0.166079
1 159 0.0568967 0.111369
0 160 0.0544662 0.166254
1 160 0.0651861 0.111475
0 161 0.214081 0.171316
1 161 0.224744 0.12314
0 162 0.0553771 0.170584
1 162 0.0668039 0.117504
0 163 0.206299 0.175473
1 163 0.21477 0.128658
0 164 -0.063302 0.18559
1 164 -0.045407 0.142356
0 165 0.051681 0.186138
1 165 0.0633582 0.133782
0 166 0.207737 0.193
1 166 0.218079 0.146494
0 167 0.0263124 0.213092
1 167 0.0388365 0.16193
0 168 0.180005 0.213965
1 168 0.188801 0.167752
0 169 0.230588 0.215309
1 169 0.241659 0.175888
0 170 0.237349 0.22152
1 170 0.249011 0.183417
0 171 -0.0442707 0.231839
1 171 -0.0278015 0.188894
0 172 -0.00619724 0.249684
1 172 0.00770315 0.20339
0 173 0.195569 0.255089
1 173 0.205865 0.212327
0 174 0.0590308 0.259957
1 174 0.0698765 0.211107
0 175 0.05904 0.263682
1 175 0.0699068 0.21162
0 176 0.376332 0.27011
1 176 0.381315 0.219268
0 177 -0.0078956 0.275226
1 177 0.00570397 0.231892
0 178 -0.000492834 0.278406
1 178 0.013692 0.234217
0 179 0.00422847 0.279639
1 179 0.0178845 0.234596
0 180 0.189735 0.279578
1 180 0.200197 0.239642
0 181 0.18093 0.282482
1 181 0.19277 0.240549
0 182 0.251479 -0.357264
1 182 0.270907 -0.383319
0 183 -0.221128 -0.277375
