9 2026 7436
0 0 0.119039 -0.337622
1 0 0.296202 -0.34917
0 1 0.0497337 -0.305221
1 1 0.227018 -0.316305
0 2 0.115384 -0.293726
1 2 0.300375 -0.30426
0 3 0.040787 -0.288077
1 3 0.215503 -0.298633
0 4 0.160945 -0.284303
1 4 0.340204 -0.295624
0 5 0.099305 -0.275325
1 5 0.279338 -0.285381
0 6 0.143911 -0.271937
1 6 0.324697 -0.283337
0 7 0.156589 -0.228848
1 7 0.333739 -0.239394
0 8 -0.0101522 -0.214279
1 8 0.154471 -0.222262
0 9 0.0752135 -0.215095
1 9 0.252418 -0.225141
0 10 0.0290677 -0.213766
1 10 0.201926 -0.221802
0 11 -0.000425242 -0.211518
1 11 0.168231 -0.221083
0 12 0.202848 -0.211572
1 12 0.382784 -0.221934
0 13 0.0173605 -0.207521
1 13 0.189284 -0.216828
0 14 0.0969097 -0.205414
1 14 0.278659 -0.215434
0 15 0.193021 -0.204532
1 15 0.374753 -0.214404
0 16 0.0948679 -0.201
1 16 0.27651 -0.210289
0 17 0.162028 -0.199929
1 17 0.338619 -0.208928
0 18 0.115084 -0.197822
1 18 0.297312 -0.207166
0 19 -0.0292279 -0.19694
1 19 0.140798 -0.205705
0 20 0.167744 -0.194599
1 20 0.344161 -0.205004
0 21 -0.0263184 -0.192354
1 21 0.142216 -0.201469
0 22 -0.0153466 -0.188239
1 22 0.153804 -0.197342
0 23 0.0864203 -0.189314
1 23 0.26746 -0.199303
0 24 0.241074 -0.187267
1 24 0.424893 -0.19656
0 25 0.100672 -0.187372
1 25 0.282286 -0.19656
0 26 0.0289223 -0.184922
1 26 0.203367 -0.195442
0 27 -0.0627719 -0.183507
1 27 0.099912 -0.191309
0 28 -0.0490564 -0.182652
1 28 0.118818 -0.19202
0 29 -0.0576206 -0.181457
1 29 0.106332 -0.189069
0 30 0.102698 -0.181812
1 30 0.283669 -0.191273
0 31 -0.067209 -0.179632
1 31 0.0991421 -0.189632
0 32 -0.0460672 -0.178418
1 32 0.122549 -0.187965
0 33 -0.0359128 -0.180606
1 33 0.131943 -0.189456
0 34 0.0847688 -0.179239
1 34 0.266207 -0.188166
0 35 0.00845686 -0.176906
1 35 0.173481 -0.186047
0 36 0.0912503 -0.175957
1 36 0.270677 -0.185137
0 37 0.195412 -0.174115
1 37 0.37787 -0.183593
0 38 -0.0348051 -0.168897
1 38 0.133496 -0.17807
0 39 -0.0468936 -0.166802
1 39 0.118715 -0.175557
0 40 0.0701272 -0.168229
1 40 0.248575 -0.177836
0 41 0.0827247 -0.166176
1 41 0.262678 -0.175216
0 42 0.0883994 -0.165042
1 42 0.269285 -0.174388
0 43 0.0982794 -0.162881
1 43 0.280172 -0.172351
0 44 -0.0742371 -0.160382
1 44 0.0952714 -0.169386
0 45 -0.0319421 -0.159466
1 45 0.135221 -0.168521
0 46 0.0941576 -0.159861
1 46 0.275335 -0.168705
0 47 -0.0386384 -0.158211
1 47 0.127745 -0.166897
0 48 -0.0746476 -0.156023
1 48 0.0921824 -0.163299
0 49 -0.0280981 -0.155602
1 49 0.139331 -0.164756
0 50 -0.0899239 -0.150679
1 50 0.0760132 -0.159401
0 51 -0.0419493 -0.151546
1 51 0.125022 -0.161163
0 52 0.0791133 -0.150395
1 52 0.25534 -0.15923
0 53 -0.0859247 -0.149741
1 53 0.0797896 -0.157314
0 54 0.350149 -0.148623
1 54 0.536653 -0.159139
0 55 -0.0403816 -0.147351
1 55 0.125605 -0.155739
0 56 -0.0316826 -0.147462
1 56 0.135629 -0.156305
0 57 0.328088 -0.146073
1 57 0.511704 -0.157504
0 58 -0.0330753 -0.143433
1 58 0.133095 -0.151986
0 59 -0.0218811 -0.141993
1 59 0.144088 -0.150954
0 60 -0.0437218 -0.141446
1 60 0.122782 -0.150472
0 61 0.0783698 -0.139514
1 61 0.253557 -0.149473
0 62 -0.103921 -0.135793
1 62 0.0620027 -0.142139
0 63 0.0423925 -0.136313
1 63 0.214814 -0.145684
0 64 0.159454 -0.135429
1 64 0.340407 -0.14593
0 65 0.0526374 -0.131304
1 65 0.225927 -0.139999
0 66 -0.105139 -0.130605
1 66 0.0621654 -0.137253
0 67 0.172495 -0.120319
1 67 0.35232 -0.129222
0 68 0.110183 -0.120121
1 68 0.285265 -0.129527
0 69 -0.154998 -0.118661
1 69 0.0169427 -0.124654
0 70 -0.147324 -0.118303
1 70 0.026606 -0.124987
0 71 0.176272 -0.118429
1 71 0.358163 -0.127297
0 72 0.352357 -0.118422
1 72 0.537583 -0.128071
0 73 -0.139258 -0.112004
1 73 0.0346978 -0.117156
0 74 -0.09088 -0.109788
1 74 0.0819953 -0.119107
0 75 -0.131411 -0.106815
1 75 0.0426128 -0.114382
0 76 -0.123071 -0.104271
1 76 0.0504258 -0.110296
0 77 -0.173956 -0.100586
1 77 0.00149795 -0.105958
0 78 -0.0904086 -0.0991635
1 78 0.0840166 -0.107005
0 79 -0.12238 -0.098418
1 79 0.0534908 -0.105365
0 80 0.0727203 -0.0996167
1 80 0.245927 -0.10825
0 81 -0.17775 -0.0967428
1 81 -0.00247602 -0.10148
0 82 0.0674196 -0.0962753
1 82 0.239971 -0.105693
0 83 0.355699 -0.0959817
1 83 0.540971 -0.105918
0 84 -0.173056 -0.0914691
1 84 0.00710575 -0.0967449
0 85 0.339247 -0.0898811
1 85 0.528617 -0.0998489
0 86 0.231048 -0.0884567
1 86 0.410434 -0.0971989
0 87 0.114878 -0.0876052
1 87 0.28657 -0.0951056
0 88 0.0642105 -0.0844105
1 88 0.236654 -0.0941314
0 89 0.0849424 -0.0819007
1 89 0.257994 -0.0904044
0 90 0.0881672 -0.0805951
1 90 0.263185 -0.0883842
0 91 -0.174356 -0.0792169
1 91 0.00675497 -0.0848347
0 92 0.101512 -0.0787777
1 92 0.274903 -0.0873408
0 93 0.107291 -0.0774939
1 93 0.280183 -0.0849703
0 94 0.0533503 -0.0613723
1 94 0.224803 -0.0676972
0 95 -0.19808 -0.0545724
1 95 -0.0143731 -0.060493
0 96 -0.205483 -0.0529313
1 96 -0.0230866 -0.0583112
0 97 0.0948649 -0.0530017
1 97 0.268685 -0.0608172
0 98 -0.16852 -0.049546
1 98 0.0132131 -0.054533
0 99 0.0109165 -0.0492294
1 99 0.177902 -0.0570376
0 100 0.12317 -0.0498602
1 100 0.293531 -0.0581069
0 101 0.089954 -0.0463481
1 101 0.262386 -0.0547923
0 102 -0.205864 -0.0450507
1 102 -0.0236692 -0.0483991
0 103 -0.199022 -0.0452021
1 103 -0.0155971 -0.0499904
0 104 0.108823 -0.0433248
1 104 0.27633 -0.0513595
0 105 -0.179365 -0.037871
1 105 0.00362532 -0.0435448
0 106 0.0345856 -0.036269
1 106 0.199011 -0.043489
0 107 0.163676 -0.0331377
1 107 0.330607 -0.0401337
0 108 -0.00145065 -0.03078
1 108 0.16384 -0.0385701
0 109 0.168823 -0.0288035
1 109 0.335373 -0.0380014
0 110 0.104966 -0.0286064
1 110 0.275211 -0.0363002
0 111 -0.0319296 -0.0270853
1 111 0.128167 -0.033333
0 112 0.0873443 -0.0272121
1 112 0.260049 -0.035055
0 113 -0.0282581 -0.0252853
1 113 0.132828 -0.0328227
0 114 0.034451 -0.023712
1 114 0.194699 -0.0306848
0 115 0.150191 -0.0226797
1 115 0.319683 -0.0329648
0 116 -0.233281 -0.0209727
1 116 -0.0465609 -0.0268347
0 117 -0.227188 -0.0221517
1 117 -0.0405817 -0.0277356
0 118 0.122074 -0.0165364
1 118 0.29207 -0.0250179
0 119 0.151844 -0.0136511
1 119 0.322973 -0.0217692
0 120 0.124841 -0.0123735
1 120 0.294481 -0.0198021
0 121 -0.238038 -0.0106883
1 121 -0.0491248 -0.0156003
0 122 0.129875 -0.00973378
1 122 0.300165 -0.0179041
0 123 -0.21144 -0.00302882
1 123 -0.0250557 -0.00874414
0 124 0.129711 0.00220196
1 124 0.298064 -0.00580624
