9 2819 9462
0 0 0.0450864 -0.367403
1 0 0.165105 -0.379498
0 1 0.102817 -0.338677
1 1 0.279047 -0.350772
0 2 0.119528 -0.337165
1 2 0.295759 -0.34926
0 3 0.0496441 -0.305416
1 3 0.227394 -0.315999
0 4 0.0876247 -0.297856
1 4 0.271451 -0.308439
0 5 0.162067 -0.297856
1 5 0.339816 -0.308439
0 6 0.104336 -0.293321
1 6 0.29272 -0.303904
0 7 0.114971 -0.293321
1 7 0.300316 -0.303904
0 8 0.0663556 -0.291809
1 8 0.241067 -0.302392
0 9 0.0785094 -0.288785
1 9 0.260817 -0.299368
0 10 0.0481249 -0.282738
1 10 0.221317 -0.293321
0 11 0.0587594 -0.278202
1 11 0.236509 -0.290297
0 12 0.0648363 -0.278202
1 12 0.242586 -0.288785
0 13 0.157509 -0.278202
1 13 0.336778 -0.290297
0 14 0.143836 -0.272154
1 14 0.324624 -0.282738
0 15 0.0207788 -0.223774
1 15 0.189413 -0.232845
0 16 0.163586 -0.223774
1 16 0.339816 -0.234357
0 17 0.130163 -0.217727
1 17 0.309432 -0.226798
0 18 -0.0263172 -0.216215
1 18 0.143836 -0.226798
0 19 0.0131827 -0.216215
1 19 0.183336 -0.225286
0 20 0.0207788 -0.216215
1 20 0.190932 -0.225286
0 21 0.0663556 -0.216215
1 21 0.236509 -0.22831
0 22 -0.00960574 -0.214703
1 22 0.15599 -0.223774
0 23 0.0298941 -0.213191
1 23 0.201567 -0.222262
0 24 0.0481249 -0.213191
1 24 0.218278 -0.225286
0 25 -0.000490382 -0.211679
1 25 0.168144 -0.22075
0 26 0.0420479 -0.211679
1 26 0.210682 -0.222262
0 27 0.0162211 -0.208655
1 27 0.187894 -0.217727
0 28 0.108894 -0.207143
1 28 0.288163 -0.216215
0 29 0.0967401 -0.205632
1 29 0.279047 -0.214703
0 30 0.089144 -0.202608
1 30 0.269932 -0.211679
0 31 0.022298 -0.201096
1 31 0.193971 -0.211679
0 32 0.0952209 -0.201096
1 32 0.277528 -0.210167
0 33 0.102817 -0.201096
1 33 0.283605 -0.210167
0 34 0.162067 -0.199584
1 34 0.338297 -0.208655
0 35 0.168144 -0.199584
1 35 0.344374 -0.210167
0 36 0.0207788 -0.198072
1 36 0.192451 -0.207143
0 37 0.114971 -0.198072
1 37 0.297278 -0.207143
0 38 0.137759 -0.19656
1 38 0.317028 -0.205632
0 39 0.168144 -0.195048
1 39 0.344374 -0.205632
0 40 -0.0263172 -0.192025
1 40 0.142317 -0.201096
0 41 0.069394 -0.190513
1 41 0.250182 -0.199584
0 42 0.0921824 -0.190513
1 42 0.27297 -0.199584
0 43 0.0861055 -0.189001
1 43 0.266893 -0.198072
0 44 0.162067 -0.189001
1 44 0.338297 -0.199584
0 45 0.110413 -0.187489
1 45 0.29272 -0.195048
0 46 -0.0521441 -0.184465
1 46 0.121048 -0.195048
0 47 0.0283749 -0.184465
1 47 0.198528 -0.193536
0 48 -0.0627787 -0.182953
1 48 0.102817 -0.192025
0 49 -0.058221 -0.181441
1 49 0.107375 -0.190513
0 50 0.0481249 -0.181441
1 50 0.218278 -0.192025
0 51 0.102817 -0.181441
1 51 0.283605 -0.190513
0 52 0.257778 -0.181441
1 52 0.438566 -0.192025
0 53 -0.0354326 -0.17993
1 53 0.131682 -0.189001
0 54 0.0845863 -0.17993
1 54 0.265374 -0.189001
0 55 0.0800286 -0.178418
1 55 0.260817 -0.187489
0 56 0.111932 -0.178418
1 56 0.294239 -0.187489
0 57 -0.0491056 -0.176906
1 57 0.121048 -0.187489
0 58 0.0405287 -0.175394
1 58 0.209163 -0.185977
0 59 0.0906632 -0.175394
1 59 0.271451 -0.184465
0 60 0.0982593 -0.173882
1 60 0.279047 -0.182953
0 61 0.19549 -0.173882
1 61 0.377797 -0.184465
0 62 -0.0430287 -0.17237
1 62 0.125605 -0.181441
0 63 0.0542018 -0.17237
